itemId,model,title,price,rating,brandName,itemUrl
2416261,MB5120,"Canon MAXIFY MB5120 0960C002 USB, Wireless, Network Ready Color Inkjet All-In-One Printer",$279.99,4.0,Canon,https://www.staples.com/Canon-MAXIFY-MB5120-Wireless-All-in-One-InkJet-Printer-0960C002/product_2416261
24466510,6GW99F#BGJ,"HP LaserJet MFP M234dw Wireless Black & White All-in-One Printer, Instant Ink Ready (6GW99F)",$249.00,4.0,HP,https://www.staples.com/hp-laserjet-m234dw-wireless-black-white-all-in-one-printer-with-fast-duplex-6gw99f/product_24466510
2607150,0630C002,Canon PIXMA G3200 0630C002 Wireless Color Inkjet Print-Scan-Copy MegaTank Printer,$199.99,3.5,Canon,https://www.staples.com/Canon-PIXMA-G3200-Wireless-MegaTank-All-In-One-Printer/product_2607150
2415089,MX532,Canon PIXMA MX532 8750B002 USB & Wireless Color Inkjet All-In-One Printer,$149.99,4.0,Canon,https://www.staples.com/Canon-PIXMA-MX532-Wireless-Color-All-in-One-Inkjet-Photo-Printer/product_2415089
2416259,MB5420,"Canon MAXIFY MB5420 0971C002 USB, Wireless, Network Ready Color Inkjet All-In-One Printer",$349.99,4.0,Canon,https://www.staples.com/Canon-MAXIFY-MB5420-All-in-One-InkJet-Printer-0971C002/product_2416259
24340971,36SC120,Lexmark Small Workgroup B2338dw 36SC120 USB Wireless Network Ready Black & White Laser Printer,$199.99,4.5,Lexmark,https://www.staples.com/lexmark-b2338dw-mono-laser-printer/product_24340971
1180383,C11CE36201,Epson WorkForce WF-2630 USB & Wireless All-in-One Color Inkjet Printer (C11CE36201),$79.99,4.0,Epson,https://www.staples.com/Epson-WorkForce-WF-2630-Color-Inkjet-All-in-One-Printer-New/product_1180383
1893048,F6W15A#BGJ,HP LaserJet Pro M426fdw All-In-One Wireless Laser Printer with Duplex Printing (F6W15A),$449.00,4.0,HP,https://www.staples.com/HP-LaserJet-Pro-MFP-M426fdw-Black-and-White-Laser-Printer/product_1893048
24346496,50G0900,"Lexmark Large Workgroup B2865dw 50G0900 USB, Wireless, Network Ready Black & White Laser Printer",$749.00,4.0,Lexmark,https://www.staples.com/lexmark-b2865dw-single-function-monochrome-laser-laser-printer/product_24346496
24340969,36SC640,"Lexmark Small Workgroup MB2338adw 36SC640 USB, Wireless, Network Ready Black & White Laser All-In-One Printer",$349.99,4.0,Lexmark,https://www.staples.com/lexmark-mb2338adw-mono-laser-printer/product_24340969
1852722,C5F94A#BGJ,HP LaserJet Pro M402dn Laser Printer with Built-In Ethernet & Duplex Printing (C5F94A),$299.00,4.5,HP,https://www.staples.com/HP-LaserJet-Pro-M402dn-Black-and-White-Laser-Printer/product_1852722
1889398,CF377A#BGJ,HP Color LaserJet Pro M477fnw All-In-One Wireless Laser Printer with Built-In Ethernet (CF377A),$529.00,4.0,HP,https://www.staples.com/HP-M477fnw-Color-LaserJet-Pro-Multi-Function-Laser-Printer/product_1889398
2618613,C11CF27201,Epson Expression Home XP-440 Wireless Small-In-One Color Inkjet Borderless Printer (C11CF27201),$99.99,4.0,Epson,https://www.staples.com/Expression-Home-XP-440-Small-in-One-Printer/product_2618613
2773001,C11CG20201,Epson WorkForce ET-3750 EcoTank All-in-One Supertank Printer,$399.99,4.0,Epson,https://www.staples.com/WorkForce-ET-3750-EcoTank-All-in-One-Supertank-Printer/product_2773001
2091478,M9L66A#B1H,HP OfficeJet Pro 8710 Color Inkjet All-In-One Printer (M9L66A),$199.99,4.0,HP,https://www.staples.com/HP-OfficeJet-Pro-8710-All-in-One-Inkjet-Printer/product_2091478
1878690,CF379A#BGJ,HP Color LaserJet Pro M477fdw All-In-One Wireless Laser Printer with Duplex Printing (CF379A),$629.00,4.5,HP,https://www.staples.com/HP-Jet-Pro-MFP-M477fdw-Color-Laser-Printer/product_1878690
2256798,C11CF77201,"Epson WorkForce WF-2760 C11CF77201 USB, Wireless, Network Ready Color Inkjet All-In-One Printer",$129.99,4.0,Epson,https://www.staples.com/Epson-WorkForce-WF-2760-Inkjet-All-in-One/product_2256798
